sra_accession	ecotype	isMix	isWild	original_ecotype	original_genotype
DRR188055	NA	NA	NA	missing	NA
DRR195418	NA	NA	NA	NA	NA
DRR195420	NA	NA	NA	NA	NA
DRR195422	NA	NA	NA	NA	NA
DRR195423	NA	NA	NA	NA	NA
DRR195427	NA	NA	NA	NA	NA
DRR195432	NA	NA	NA	NA	NA
DRR195435	NA	NA	NA	NA	NA
DRR195436	NA	NA	NA	NA	NA
DRR195437	NA	NA	NA	NA	NA
DRR195438	NA	NA	NA	NA	NA
DRR195469	6909	0	0	Col-0	WRKY29-LUC_T3-W29-1-4
DRR195473	6909	0	0	Col-0	WRKY29-LUC-mutant_awf5
DRR195476	6909	0	0	Col-0	WRKY29-LUC-mutant_awf14
DRR195477	6909	0	0	Col-0	WRKY29-LUC-mutant_awf16
DRR195479	6909	0	0	Col-0	WRKY29-LUC-mutant_awf19
DRR196918	6909	0	NA	Columbia	NA
DRR196920	6909	0	NA	Columbia	NA
DRR200071	6909	0	NA	Col-0	NA
DRR200074	6909	0	NA	Col-0	NA
DRR214851	6909	0	NA	Col-0	NA
DRR214855	6909	0	NA	Col-0	NA
DRR214856	6909	0	NA	Col-0	NA
DRR214857	6909	0	NA	Col-0	NA
DRR214867	6909	0	NA	Col-0	NA
DRR214872	6909	0	NA	Col-0	NA
DRR214876	6909	0	NA	Col-0	NA
DRR217137	NA	NA	NA	NA	NA
DRR217138	NA	NA	NA	NA	NA
DRR217139	NA	NA	NA	NA	NA
DRR217140	NA	NA	NA	NA	NA
DRR222953	NA	NA	NA	missing	NA
DRR222954	NA	NA	NA	missing	NA
DRR222957	NA	NA	NA	missing	NA
DRR222958	NA	NA	NA	missing	NA
DRR222962	NA	NA	NA	missing	NA
DRR222966	NA	NA	NA	missing	NA
DRR226625	NA	NA	NA	missing	NA
DRR238835	6909	0	NA	Col-0	NA
DRR270453	NA	NA	0	NA	3xFLAG-FLD fld-4 FRI
DRR270454	NA	NA	0	NA	WT
DRR270456	NA	NA	0	NA	WT
DRR270459	NA	NA	0	NA	At1g77122_T-DNA2
DRR307355	NA	NA	NA	missing	NA
DRR307356	NA	NA	NA	missing	NA
DRR319685	6909	0	NA	Col-0	NA
DRR319687	6909	0	NA	Col-0	NA
DRR321685	NA	NA	NA	NA	NA
DRR396146	6909	0	0	Columbia	drm1 drm2 cmt2 without HiTG
DRR400398	6909	0	NA	Columbia	NA
DRR427251	7210	0	0	Landsberg erecta	EMF2-VENUS ap1 cal 35SAP1-GR
DRR427253	7210	0	0	Landsberg erecta	EMF2-VENUS ap1 cal 35SAP1-GR
DRR427256	7210	0	0	Landsberg erecta	ap1 cal 35SAP1-GR
DRR427710	6909	0	NA	Col-0	NA
DRR427713	6909	0	NA	Col-0	NA
DRR427714	6909	0	NA	Col-0	NA
DRR427716	6909	0	NA	Col-0	NA
DRR427719	6909	0	NA	Col-0	NA
DRR427722	6909	0	NA	Col-0	NA
DRR427724	6909	0	NA	Col-0	NA
DRR439081	6909	0	0	Col-0	Col-0
DRR459246	6909	0	NA	Columbia	NA
DRR459248	6909	0	NA	Columbia	NA
ERR031531	NA	NA	NA	NA	NA
ERR031532	NA	NA	NA	NA	NA
ERR031533	NA	NA	NA	NA	NA
ERR031535	NA	NA	NA	NA	NA
ERR031536	NA	NA	NA	NA	NA
ERR031537	NA	NA	NA	NA	NA
ERR031538	NA	NA	NA	NA	NA
ERR031539	NA	NA	NA	NA	NA
ERR031542	NA	NA	NA	NA	NA
ERR031543	NA	NA	NA	NA	NA
ERR031545	NA	NA	NA	NA	NA
ERR031546	NA	NA	NA	NA	NA
ERR031547	NA	NA	NA	NA	NA
ERR031548	NA	NA	NA	NA	NA
ERR031549	NA	NA	NA	NA	NA
ERR031551	NA	NA	NA	NA	NA
ERR031553	NA	NA	NA	NA	NA
ERR031554	NA	NA	NA	NA	NA
ERR031555	NA	NA	NA	NA	NA
ERR031556	NA	NA	NA	NA	NA
ERR031557	NA	NA	NA	NA	NA
ERR031559	NA	NA	NA	NA	NA
ERR031562	NA	NA	NA	NA	NA
ERR031563	NA	NA	NA	NA	NA
ERR031565	NA	NA	NA	NA	NA
ERR046551	NA	NA	NA	NA	NA
ERR046561	NA	NA	NA	NA	NA
ERR046570	NA	NA	NA	NA	NA
ERR046575	NA	NA	NA	NA	NA
ERR10163205	6909	0	1	Col-0	wild type genotype
ERR10163206	6909	0	1	Col-0	wild type genotype
ERR10163207	6909	0	0	Col-0	MGH3P::MGH3-eGFP htr10-/-
ERR10163209	6909	0	0	Col-0	MGH3P::MGH3-eGFP htr10-/-
ERR10163210	6909	0	1	Col-0	wild type genotype
ERR10163211	6909	0	1	Col-0	wild type genotype
ERR10163212	6909	0	1	Col-0	wild type genotype
ERR10163216	6909	0	1	Col-0	wild type genotype
ERR10163220	6909	0	1	Col-0	wild type genotype
ERR10163224	6909	0	0	Col-0	MGH3P::MGH3-eGFP htr10-/-
ERR10163227	6909	0	0	Col-0	ACT::H2B-mRFP
ERR10163228	6909	0	1	Col-0	wild type genotype
ERR10163230	6909	0	1	Col-0	wild type genotype
ERR10225049	6909	0	NA	Col-0	NA
ERR10225065	NA	NA	NA	NA	NA
ERR10225095	NA	NA	NA	NA	NA
ERR10225100	NA	NA	NA	NA	NA
ERR10292479	NA	NA	NA	NA	NA
ERR10293214	NA	NA	NA	NA	NA
ERR10293222	NA	NA	NA	NA	NA
ERR1039951	NA	NA	0	NA	420-CEN3 x met1-3/+ F1
ERR1039961	NA	NA	0	NA	420-CEN3 x met1-3/+ F1
ERR1043692	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043693	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043694	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043695	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043696	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043698	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043699	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043700	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043701	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043703	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043705	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043706	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043707	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043709	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043710	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043711	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043714	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043717	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043718	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043719	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043720	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043721	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043722	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043723	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043725	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043726	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043727	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043728	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043730	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043731	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043732	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043735	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043737	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043738	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043739	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043740	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043742	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043744	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043745	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043748	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043749	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043752	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043753	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043755	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043756	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043758	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043760	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043761	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043763	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043764	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043765	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043766	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043767	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043768	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043770	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043771	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043775	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043776	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043778	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043779	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043780	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043781	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043782	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043783	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043784	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043786	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043787	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043788	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043791	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043792	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043793	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043794	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043795	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043798	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043799	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043803	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043805	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043806	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043807	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043809	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043810	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043811	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043812	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043813	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043814	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043815	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043816	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043818	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043819	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043822	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043823	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043825	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043827	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043830	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043831	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043832	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043834	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043835	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043836	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043839	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043843	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043845	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043846	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043848	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043852	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043853	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043855	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043856	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043857	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043858	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043861	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043862	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043864	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043867	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043873	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043875	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043876	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043894	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043895	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043896	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043897	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043900	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043901	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043902	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043903	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043905	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043906	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043908	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043911	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043913	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043917	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043918	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043920	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043921	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043923	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043924	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043925	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043926	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043927	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043929	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043930	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043931	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043934	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043936	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043944	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043945	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043947	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043948	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043950	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043951	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043954	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043955	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043958	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043963	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043965	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043967	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043968	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043970	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043971	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043972	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043974	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043975	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043978	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043980	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1043981	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043984	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043986	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043987	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043992	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043994	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043995	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043996	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043997	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043998	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1043999	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1044000	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1044001	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1044003	NA	NA	0	NA	Col/Ler met1 F1 backcrossed to Col
ERR1044006	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044008	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044011	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044015	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044018	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044020	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044022	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044023	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044026	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044027	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044029	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044030	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044031	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044032	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044033	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044035	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044036	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044037	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044038	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044039	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044040	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044041	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044045	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044046	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044048	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044049	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044051	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044054	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044055	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044056	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044057	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044060	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044062	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044063	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044065	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044066	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044067	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR1044068	NA	NA	0	NA	Col/Ler F1 backcrossed to Col
ERR10761813	NA	NA	NA	NA	NA
ERR10761814	NA	NA	NA	NA	NA
ERR10761817	NA	NA	NA	NA	NA
ERR10761818	NA	NA	NA	NA	NA
ERR10761819	NA	NA	NA	NA	NA
ERR10761820	NA	NA	NA	NA	NA
ERR10761821	NA	NA	NA	NA	NA
ERR10783444	NA	NA	NA	NA	NA
ERR10903478	NA	NA	1	NA	wild type genotype
ERR10903480	NA	NA	1	NA	wild type genotype
ERR10903481	NA	NA	1	NA	wild type genotype
ERR10903482	NA	NA	1	NA	wild type genotype
ERR10903483	NA	NA	1	NA	wild type genotype
ERR10903485	NA	NA	1	NA	wild type genotype
ERR10903486	NA	NA	1	NA	wild type genotype
ERR10903488	NA	NA	1	NA	wild type genotype
ERR10903489	NA	NA	1	NA	wild type genotype
ERR10903490	NA	NA	1	NA	wild type genotype
ERR10903492	NA	NA	1	NA	wild type genotype
ERR10903494	NA	NA	1	NA	wild type genotype
ERR10903499	NA	NA	1	NA	wild type genotype
ERR10903500	NA	NA	1	NA	wild type genotype
ERR10903501	NA	NA	1	NA	wild type genotype
ERR10903502	NA	NA	1	NA	wild type genotype
ERR10903504	NA	NA	1	NA	wild type genotype
ERR10903505	NA	NA	1	NA	wild type genotype
ERR10903510	NA	NA	1	NA	wild type genotype
ERR10903515	NA	NA	1	NA	wild type genotype
ERR10903516	NA	NA	1	NA	wild type genotype
ERR10903518	NA	NA	1	NA	wild type genotype
ERR10903520	NA	NA	1	NA	wild type genotype
ERR10903521	NA	NA	1	NA	wild type genotype
ERR10903524	NA	NA	1	NA	wild type genotype
ERR10903525	NA	NA	1	NA	wild type genotype
ERR10903528	NA	NA	1	NA	wild type genotype
ERR10903531	NA	NA	1	NA	wild type genotype
ERR10903532	NA	NA	1	NA	wild type genotype
ERR10903536	NA	NA	1	NA	wild type genotype
ERR10903537	NA	NA	1	NA	wild type genotype
ERR10903538	NA	NA	1	NA	wild type genotype
ERR10903539	NA	NA	1	NA	wild type genotype
ERR10903545	NA	NA	1	NA	wild type genotype
ERR10903549	NA	NA	1	NA	wild type genotype
ERR10903550	NA	NA	1	NA	wild type genotype
ERR10903556	NA	NA	1	NA	wild type genotype
ERR10903558	NA	NA	1	NA	wild type genotype
ERR10903559	NA	NA	1	NA	wild type genotype
ERR10903561	NA	NA	1	NA	wild type genotype
ERR10903562	NA	NA	1	NA	wild type genotype
ERR10903564	NA	NA	1	NA	wild type genotype
ERR10903565	NA	NA	1	NA	wild type genotype
ERR10903566	NA	NA	1	NA	wild type genotype
ERR10903568	NA	NA	1	NA	wild type genotype
ERR10903569	NA	NA	1	NA	wild type genotype
